Ticker,Group,EPS Type,Year,Q2 2024,Q3 2024,Q3 2024 chg,Q4 2024,Q4 2024 chg,Q1 2025,Q1 2025 chg,Q2 2025,Q2 2025 chg,Q3 2025,Q3 2025 chg,Q4 2025,Q4 2025 chg,Q1 2026,Q1 2026 chg,Price,PE,12m Rev
HCA,Portfolio,Adj,CY2025,23.25,24.91,+7.1%,24.61,-1.2%,24.95,+1.3%,25.33,+1.5%,26.27,+3.7%,27.69,+5.4%,27.69,+0.0%,471.84,17.0,+11.0%
HCA,Portfolio,Adj,CY2026,26.44,28.15,+6.4%,27.21,-3.3%,27.94,+2.7%,28.02,+0.3%,28.19,+0.6%,29.61,+5.1%,30.37,+2.5%,471.84,15.5,+8.7%
HCA,Portfolio,Adj,CY2027,29.46,31.3,+6.2%,30.93,-1.2%,31.11,+0.6%,31.6,+1.6%,31.44,-0.5%,32.85,+4.5%,33.33,+1.5%,471.84,14.2,+7.2%
HCA,Portfolio,Adj,CY2028,32.1,35.33,+10.1%,33.89,-4.1%,34.97,+3.2%,36.22,+3.6%,35.68,-1.5%,36.58,+2.5%,37.34,+2.1%,471.84,12.6,+6.8%
UNH,Portfolio,GAAP,CY2025,29.53,29.68,+0.5%,28.38,-4.4%,28.32,-0.2%,20.8,-26.6%,14.83,-28.7%,14.94,+0.8%,14.95,+0.0%,277.26,18.5,-47.2%
UNH,Portfolio,GAAP,CY2026,34.34,34.26,-0.2%,32.15,-6.2%,32.01,-0.4%,24.3,-24.1%,16.3,-32.9%,16.41,+0.6%,16.83,+2.6%,277.26,16.5,-47.4%
UNH,Portfolio,GAAP,CY2027,37.72,38.44,+1.9%,36.72,-4.5%,36.12,-1.6%,28.05,-22.3%,19.18,-31.6%,19.38,+1.0%,18.58,-4.1%,277.26,14.9,-48.6%
UNH,Portfolio,GAAP,CY2028,43.74,43.88,+0.3%,41.61,-5.2%,40.8,-2.0%,32.69,-19.9%,24.2,-26.0%,23.72,-2.0%,22.03,-7.1%,277.26,12.6,-46.0%
TSM,Portfolio,GAAP,CY2025,7.64,8.46,+10.7%,8.89,+5.0%,9.03,+1.6%,10.17,+12.6%,9.81,-3.5%,10.24,+4.3%,10.24,+0.0%,339.04,33.1,+13.4%
TSM,Portfolio,GAAP,CY2026,9.14,10.08,+10.2%,10.49,+4.1%,10.74,+2.4%,11.79,+9.8%,11.24,-4.7%,12.15,+8.1%,14.06,+15.7%,339.04,24.1,+30.9%
TSM,Portfolio,GAAP,CY2027,9.99,11.38,+13.9%,11.98,+5.3%,12.4,+3.5%,13.66,+10.2%,13.36,-2.2%,14.39,+7.7%,17.24,+19.8%,339.04,19.7,+39.0%
TSM,Portfolio,GAAP,CY2028,11.45,13.13,+14.7%,13.85,+5.5%,13.25,-4.3%,15.04,+13.5%,15.4,+2.4%,16.15,+4.9%,20.34,+26.0%,339.04,16.7,+53.5%
AVGO,Portfolio,GAAP,CY2025,3.84,3.99,+3.9%,3.96,-0.8%,4.66,+17.7%,4.53,-2.8%,4.23,-6.6%,4.25,+0.4%,,,314.55,74.1,+7.3%
AVGO,Portfolio,GAAP,CY2026,4.95,4.81,-2.8%,5.36,+11.4%,5.91,+10.1%,6.13,+3.8%,6.44,+5.1%,7.91,+22.8%,9.12,+15.3%,314.55,34.5,+54.4%
AVGO,Portfolio,GAAP,CY2027,6.67,31.08,+365.6%,6.59,-78.8%,6.9,+4.8%,7.67,+11.2%,8.98,+17.0%,11.63,+29.5%,15.28,+31.3%,314.55,20.6,+121.3%
AVGO,Portfolio,GAAP,CY2028,7.7,8.92,+15.9%,9.69,+8.6%,10.34,+6.7%,9.88,-4.4%,11.3,+14.4%,15.03,+33.0%,18.9,+25.8%,314.55,16.6,+82.8%
NVDA,Portfolio,GAAP,CY2025,2.61,2.81,+7.4%,2.87,+2.4%,2.85,-1.0%,,,,,,,,,177.39,62.3,+8.9%
NVDA,Portfolio,GAAP,CY2026,3.5,3.97,+13.3%,4.38,+10.4%,4.37,-0.4%,4.12,-5.7%,4.4,+6.9%,4.61,+4.8%,4.63,+0.3%,177.39,38.3,+6.0%
NVDA,Portfolio,GAAP,CY2027,4.04,4.96,+22.8%,5.52,+11.2%,5.51,-0.2%,5.47,-0.6%,6.2,+13.3%,7.33,+18.2%,8.2,+11.8%,177.39,21.6,+48.8%
NVDA,Portfolio,GAAP,CY2028,4.38,5.17,+18.1%,6.53,+26.2%,6.27,-4.0%,6.33,+0.9%,7.35,+16.2%,9.21,+25.3%,10.89,+18.2%,177.39,16.3,+73.8%
META,Portfolio,GAAP,CY2025,23.3,24.47,+5.0%,25.47,+4.1%,25.19,-1.1%,25.54,+1.4%,28.14,+10.2%,22.8,-19.0%,22.81,+0.1%,574.46,25.2,-9.4%
META,Portfolio,GAAP,CY2026,27.13,28.14,+3.7%,29.01,+3.1%,28.75,-0.9%,28.34,-1.4%,29.93,+5.6%,29.62,-1.0%,29.63,+0.0%,574.46,19.4,+3.1%
META,Portfolio,GAAP,CY2027,31.18,32.41,+4.0%,33.86,+4.5%,33.24,-1.8%,32.47,-2.3%,34.2,+5.3%,33.54,-1.9%,34.52,+2.9%,574.46,16.6,+3.8%
META,Portfolio,GAAP,CY2028,34.12,35.93,+5.3%,37.19,+3.5%,37.42,+0.6%,37.96,+1.4%,39.93,+5.2%,38.86,-2.7%,40.54,+4.3%,574.46,14.2,+8.3%
AMZN,Portfolio,GAAP,CY2025,5.83,5.82,-0.1%,6.22,+7.0%,6.33,+1.7%,6.24,-1.4%,6.67,+6.9%,7.09,+6.3%,7.1,+0.1%,209.77,29.5,+12.2%
AMZN,Portfolio,GAAP,CY2026,7.42,7.34,-1.1%,7.61,+3.6%,7.63,+0.3%,7.3,-4.4%,7.63,+4.5%,7.93,+3.9%,7.72,-2.6%,209.77,27.2,+1.2%
AMZN,Portfolio,GAAP,CY2027,8.66,8.87,+2.3%,9.17,+3.4%,9.37,+2.2%,8.88,-5.3%,9.25,+4.2%,9.69,+4.7%,9.33,-3.7%,209.77,22.5,-0.5%
AMZN,Portfolio,GAAP,CY2028,10.32,10.51,+1.9%,10.91,+3.8%,10.97,+0.6%,10.51,-4.2%,10.94,+4.2%,11.2,+2.3%,11.64,+4.0%,209.77,18.0,+6.1%
JPM,Portfolio,GAAP,CY2025,16.41,17.0,+3.6%,16.97,-0.2%,18.39,+8.4%,18.65,+1.4%,19.9,+6.7%,20.27,+1.9%,19.77,-2.5%,294.6,14.9,+7.5%
JPM,Portfolio,GAAP,CY2026,17.65,18.06,+2.3%,18.15,+0.5%,19.61,+8.0%,19.77,+0.8%,20.63,+4.3%,21.05,+2.0%,21.53,+2.3%,294.6,13.7,+9.8%
JPM,Portfolio,GAAP,CY2027,17.23,17.47,+1.4%,19.14,+9.5%,21.38,+11.7%,21.02,-1.7%,21.84,+3.9%,22.75,+4.2%,23.18,+1.9%,294.6,12.7,+8.4%
JPM,Portfolio,GAAP,CY2028,18.43,18.78,+1.9%,18.78,+0.0%,20.1,+7.0%,20.1,+0.0%,21.9,+9.0%,24.18,+10.4%,25.47,+5.4%,294.6,11.6,+26.7%
APO,Portfolio,Adj,CY2025,9.04,8.53,-5.6%,8.54,+0.1%,8.28,-3.0%,7.74,-6.6%,7.78,+0.6%,7.99,+2.7%,7.96,-0.5%,107.04,13.5,-4.0%
APO,Portfolio,Adj,CY2026,10.63,10.23,-3.8%,10.1,-1.3%,9.78,-3.1%,9.38,-4.1%,9.29,-1.0%,9.17,-1.3%,9.2,+0.3%,107.04,11.6,-5.9%
APO,Portfolio,Adj,CY2027,,11.81,,11.96,+1.2%,11.45,-4.2%,11.09,-3.2%,11.11,+0.2%,10.99,-1.1%,10.8,-1.7%,107.04,9.9,-5.7%
APO,Portfolio,Adj,CY2028,,,,14.09,,12.3,-12.7%,12.36,+0.5%,12.62,+2.1%,12.4,-1.7%,12.63,+1.8%,107.04,8.5,+2.7%
PGR,Portfolio,Adj,CY2025,12.22,13.41,+9.7%,14.28,+6.5%,15.48,+8.4%,16.38,+5.8%,18.29,+11.7%,17.88,-2.2%,17.9,+0.1%,195.25,10.9,+15.6%
PGR,Portfolio,Adj,CY2026,13.2,14.1,+6.9%,14.76,+4.7%,15.71,+6.4%,15.95,+1.5%,16.66,+4.4%,16.18,-2.9%,16.23,+0.3%,195.25,12.0,+3.3%
PGR,Portfolio,Adj,CY2027,14.33,14.71,+2.7%,15.3,+4.0%,16.89,+10.4%,16.86,-0.2%,16.83,-0.1%,16.29,-3.2%,16.22,-0.4%,195.25,12.0,-4.0%
PGR,Portfolio,Adj,CY2028,15.18,15.84,+4.3%,16.1,+1.7%,17.91,+11.2%,17.91,+0.0%,17.44,-2.6%,16.86,-3.3%,16.1,-4.5%,195.25,12.1,-10.1%
CVNA,Portfolio,Adj,CY2025,0.25,1.49,+502.0%,2.55,+71.2%,3.36,+32.1%,4.87,+44.9%,5.25,+7.7%,5.12,-2.4%,5.14,+0.4%,313.91,61.1,+52.8%
CVNA,Portfolio,Adj,CY2026,1.69,3.05,+80.3%,4.76,+55.8%,4.93,+3.7%,6.16,+24.8%,7.05,+14.5%,7.24,+2.7%,7.41,+2.4%,313.91,42.4,+50.2%
CVNA,Portfolio,Adj,CY2027,4.15,5.16,+24.3%,7.39,+43.1%,6.91,-6.4%,7.81,+13.0%,9.91,+26.8%,9.77,-1.4%,10.07,+3.1%,313.91,31.2,+45.7%
CVNA,Portfolio,Adj,CY2028,5.43,6.36,+17.1%,8.95,+40.7%,8.17,-8.7%,12.16,+48.9%,13.42,+10.3%,12.68,-5.5%,12.91,+1.8%,313.91,24.3,+58.1%
APP,Portfolio,Adj,CY2025,3.75,4.67,+24.8%,6.02,+28.8%,6.7,+11.2%,8.11,+21.1%,9.04,+11.4%,9.37,+3.7%,9.38,+0.1%,386.37,41.2,+40.1%
APP,Portfolio,Adj,CY2026,4.54,6.06,+33.5%,8.03,+32.4%,9.8,+22.1%,11.95,+21.9%,14.03,+17.4%,14.66,+4.5%,15.46,+5.5%,386.37,25.0,+57.7%
APP,Portfolio,Adj,CY2027,5.02,6.92,+37.9%,10.34,+49.3%,12.84,+24.2%,14.53,+13.1%,17.55,+20.8%,18.9,+7.7%,20.32,+7.5%,386.37,19.0,+58.3%
