Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Year,Q2 2023,Q3 2023,Q3 2023 chg,Q4 2023,Q4 2023 chg,Q1 2024,Q1 2024 chg,Q2 2024,Q2 2024 chg,Q3 2024,Q3 2024 chg,Q4 2024,Q4 2024 chg,Q1 2025,Q1 2025 chg,Q2 2025,Q2 2025 chg,Q3 2025,Q3 2025 chg,Q4 2025,Q4 2025 chg,Q1 2026,Q1 2026 chg,Price,PE,12m Rev,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,CY2025,22.499,22.857,+1.6%,21.959,-3.9%,22.988,+4.7%,23.247,+1.1%,24.906,+7.1%,24.614,-1.2%,24.946,+1.3%,25.332,+1.5%,26.272,+3.7%,27.687,+5.4%,27.69,+0.0%,471.84,17.0,+11.0%,+1.1%,+0.3%,+42.3%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,CY2026,26.237,27.028,+3.0%,25.7,-4.9%,25.596,-0.4%,26.442,+3.3%,28.146,+6.4%,27.206,-3.3%,27.938,+2.7%,28.018,+0.3%,28.189,+0.6%,29.613,+5.1%,30.366,+2.5%,471.84,15.5,+8.7%,+1.1%,+0.3%,+42.3%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,CY2027,29.728,30.485,+2.5%,29.073,-4.6%,28.878,-0.7%,29.463,+2.0%,31.296,+6.2%,30.928,-1.2%,31.106,+0.6%,31.604,+1.6%,31.437,-0.5%,32.847,+4.5%,33.331,+1.5%,471.84,14.2,+7.2%,+1.1%,+0.3%,+42.3%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,CY2028,29.77,29.76,-0.0%,30.17,+1.4%,31.61,+4.8%,32.097,+1.5%,35.33,+10.1%,33.893,-4.1%,34.968,+3.2%,36.22,+3.6%,35.678,-1.5%,36.576,+2.5%,37.335,+2.1%,471.84,12.6,+6.8%,+1.1%,+0.3%,+42.3%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,CY2025,30.243,30.098,-0.5%,30.096,-0.0%,30.019,-0.3%,29.53,-1.6%,29.684,+0.5%,28.376,-4.4%,28.322,-0.2%,20.797,-26.6%,14.827,-28.7%,14.944,+0.8%,14.947,+0.0%,277.26,18.5,-47.2%,-16.0%,-17.6%,-47.2%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,CY2026,36.657,36.175,-1.3%,33.77,-6.6%,33.893,+0.4%,34.345,+1.3%,34.261,-0.2%,32.148,-6.2%,32.009,-0.4%,24.296,-24.1%,16.302,-32.9%,16.406,+0.6%,16.83,+2.6%,277.26,16.5,-47.4%,-16.0%,-17.6%,-47.2%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,CY2027,38.837,38.643,-0.5%,40.623,+5.1%,40.8,+0.4%,37.72,-7.5%,38.436,+1.9%,36.723,-4.5%,36.122,-1.6%,28.052,-22.3%,19.178,-31.6%,19.375,+1.0%,18.582,-4.1%,277.26,14.9,-48.6%,-16.0%,-17.6%,-47.2%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,CY2028,41.65,,,,,43.19,+3.7%,43.737,+1.3%,43.877,+0.3%,41.61,-5.2%,40.795,-2.0%,32.685,-19.9%,24.203,-26.0%,23.718,-2.0%,22.031,-7.1%,277.26,12.6,-46.0%,-16.0%,-17.6%,-47.2%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,CY2025,7.373,6.986,-5.2%,7.324,+4.8%,7.42,+1.3%,7.64,+3.0%,8.461,+10.7%,8.886,+5.0%,9.03,+1.6%,10.17,+12.6%,9.814,-3.5%,10.238,+4.3%,10.239,+0.0%,339.04,33.1,+13.4%,+11.6%,+6.1%,+131.0%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,CY2026,7.916,7.487,-5.4%,8.262,+10.4%,8.802,+6.5%,9.144,+3.9%,10.079,+10.2%,10.49,+4.1%,10.737,+2.4%,11.792,+9.8%,11.241,-4.7%,12.151,+8.1%,14.059,+15.7%,339.04,24.1,+30.9%,+11.6%,+6.1%,+131.0%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,CY2027,8.802,8.286,-5.9%,8.981,+8.4%,9.254,+3.0%,9.989,+7.9%,11.376,+13.9%,11.984,+5.3%,12.399,+3.5%,13.66,+10.2%,13.36,-2.2%,14.395,+7.7%,17.239,+19.8%,339.04,19.7,+39.0%,+11.6%,+6.1%,+131.0%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,CY2028,10.85,10.113,-6.8%,10.707,+5.9%,10.514,-1.8%,11.445,+8.9%,13.131,+14.7%,13.848,+5.5%,13.251,-4.3%,15.04,+13.5%,15.4,+2.4%,16.147,+4.9%,20.339,+26.0%,339.04,16.7,+53.5%,+11.6%,+6.1%,+131.0%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,CY2025,4.104,4.529,+10.4%,4.769,+5.3%,3.692,-22.6%,3.838,+4.0%,3.988,+3.9%,3.958,-0.8%,4.658,+17.7%,4.529,-2.8%,4.231,-6.6%,4.247,+0.4%,,,314.55,74.1,+7.3%,-9.1%,-9.5%,+115.0%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,CY2026,3.93,4.82,+22.6%,5.326,+10.5%,4.926,-7.5%,4.951,+0.5%,4.814,-2.8%,5.364,+11.4%,5.907,+10.1%,6.133,+3.8%,6.443,+5.1%,7.913,+22.8%,9.123,+15.3%,314.55,34.5,+54.4%,-9.1%,-9.5%,+115.0%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,CY2027,4.24,5.3,+25.0%,5.57,+5.1%,5.155,-7.5%,6.675,+29.5%,31.08,+365.6%,6.586,-78.8%,6.902,+4.8%,7.674,+11.2%,8.982,+17.0%,11.63,+29.5%,15.275,+31.3%,314.55,20.6,+121.3%,-9.1%,-9.5%,+115.0%
