Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Metric,Year,-1yr,-6m,-6m chg,-3m,-3m chg,Current,Current chg,Price,PE,12m Rev,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2025,25.332,27.687,+9.3%,27.69,+0.0%,27.69,+0.0%,391.68,14.1,+9.3%,-16.1%,-18.5%,+3.7%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2026,28.018,29.646,+5.8%,30.372,+2.4%,30.196,-0.6%,391.68,13.0,+7.8%,-16.1%,-18.5%,+3.7%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2027,31.604,32.895,+4.1%,33.38,+1.5%,33.12,-0.8%,391.68,11.8,+4.8%,-16.1%,-18.5%,+3.7%
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,EPS,CY2028,36.22,36.79,+1.6%,37.55,+2.1%,37.086,-1.2%,391.68,10.6,+2.4%,-16.1%,-18.5%,+3.7%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2025,20.797,14.944,-28.1%,14.947,+0.0%,14.947,+0.0%,427.89,28.6,-28.1%,+29.6%,+59.6%,+41.4%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2026,24.296,16.406,-32.5%,16.83,+2.6%,17.152,+1.9%,427.89,24.9,-29.4%,+29.6%,+59.6%,+41.4%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2027,28.052,19.375,-30.9%,18.467,-4.7%,18.815,+1.9%,427.89,22.7,-32.9%,+29.6%,+59.6%,+41.4%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,EPS,CY2028,32.685,23.718,-27.4%,21.797,-8.1%,23.234,+6.6%,427.89,18.4,-28.9%,+29.6%,+59.6%,+41.4%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2025,10.012,10.196,+1.8%,10.239,+0.4%,10.239,+0.0%,432.35,42.2,+2.3%,+42.3%,+32.6%,+93.0%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2026,11.61,12.297,+5.9%,14.068,+14.4%,15.513,+10.3%,432.35,27.9,+33.6%,+42.3%,+32.6%,+93.0%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2027,13.469,14.315,+6.3%,17.314,+21.0%,19.619,+13.3%,432.35,22.0,+45.7%,+42.3%,+32.6%,+93.0%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,EPS,CY2028,15.04,16.147,+7.4%,20.445,+26.6%,24.044,+17.6%,432.35,18.0,+59.9%,+42.3%,+32.6%,+93.0%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2025,4.529,4.247,-6.2%,4.247,+0.0%,4.247,+0.0%,365.02,85.9,-6.2%,+5.5%,+18.0%,+35.1%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2026,6.112,7.933,+29.8%,9.009,+13.6%,9.34,+3.7%,365.02,39.1,+52.8%,+5.5%,+18.0%,+35.1%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2027,7.674,11.607,+51.3%,15.093,+30.0%,16.981,+12.5%,365.02,21.5,+121.3%,+5.5%,+18.0%,+35.1%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,EPS,CY2028,9.88,15.027,+52.1%,18.477,+23.0%,23.525,+27.3%,365.02,15.5,+138.1%,+5.5%,+18.0%,+35.1%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2025,4.118,4.614,+12.0%,4.626,+0.3%,4.626,+0.0%,192.53,41.6,+12.3%,+3.2%,+12.4%,+24.2%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2026,5.475,7.332,+33.9%,8.257,+12.6%,9.461,+14.6%,192.53,20.3,+72.8%,+3.2%,+12.4%,+24.2%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2027,6.326,9.215,+45.7%,10.986,+19.2%,13.137,+19.6%,192.53,14.7,+107.7%,+3.2%,+12.4%,+24.2%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,EPS,CY2028,7.29,9.964,+36.7%,12.746,+27.9%,15.706,+23.2%,192.53,12.3,+115.4%,+3.2%,+12.4%,+24.2%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2025,25.541,22.802,-10.7%,22.814,+0.1%,22.814,+0.0%,550.25,24.1,-10.7%,-16.6%,+0.5%,-24.2%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2026,28.339,29.618,+4.5%,29.593,-0.1%,32.773,+10.7%,550.25,16.8,+15.6%,-16.6%,+0.5%,-24.2%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2027,32.466,33.549,+3.3%,34.437,+2.6%,35.068,+1.8%,550.25,15.7,+8.0%,-16.6%,+0.5%,-24.2%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2028,37.956,38.867,+2.4%,40.464,+4.1%,40.584,+0.3%,550.25,13.6,+6.9%,-16.6%,+0.5%,-24.2%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,EPS,CY2025,6.243,7.094,+13.6%,7.102,+0.1%,7.102,+0.0%,232.69,32.8,+13.8%,+0.8%,+12.1%,+7.2%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,EPS,CY2026,7.303,7.926,+8.5%,7.702,-2.8%,8.777,+14.0%,232.69,26.5,+20.2%,+0.8%,+12.1%,+7.2%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,EPS,CY2027,8.875,9.685,+9.1%,9.344,-3.5%,10.009,+7.1%,232.69,23.2,+12.8%,+0.8%,+12.1%,+7.2%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,EPS,CY2028,10.507,11.196,+6.6%,11.647,+4.0%,12.88,+10.6%,232.69,18.1,+22.6%,+0.8%,+12.1%,+7.2%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,EPS,CY2025,18.628,20.276,+8.8%,19.774,-2.5%,19.774,+0.0%,329.05,16.6,+6.2%,+2.1%,+12.8%,+14.0%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,EPS,CY2026,19.753,21.048,+6.6%,21.58,+2.5%,22.516,+4.3%,329.05,14.6,+14.0%,+2.1%,+12.8%,+14.0%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,EPS,CY2027,21.017,22.743,+8.2%,23.144,+1.8%,23.527,+1.7%,329.05,14.0,+11.9%,+2.1%,+12.8%,+14.0%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,EPS,CY2028,20.1,23.35,+16.2%,25.454,+9.0%,25.833,+1.5%,329.05,12.7,+28.5%,+2.1%,+12.8%,+14.0%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,EPS,CY2025,7.735,7.991,+3.3%,7.955,-0.5%,7.955,+0.0%,118.29,14.9,+2.8%,-18.3%,+7.6%,-15.1%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,EPS,CY2026,9.384,9.174,-2.2%,9.213,+0.4%,8.944,-2.9%,118.29,13.2,-4.7%,-18.3%,+7.6%,-15.1%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,EPS,CY2027,11.088,10.989,-0.9%,10.807,-1.7%,10.724,-0.8%,118.29,11.0,-3.3%,-18.3%,+7.6%,-15.1%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,EPS,CY2028,12.36,12.405,+0.4%,12.625,+1.8%,12.437,-1.5%,118.29,9.5,+0.6%,-18.3%,+7.6%,-15.1%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,EPS,CY2025,16.38,17.88,+9.2%,17.902,+0.1%,17.902,+0.0%,224.34,12.5,+9.3%,+4.7%,+10.6%,-8.8%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,EPS,CY2026,15.954,16.178,+1.4%,16.241,+0.4%,17.09,+5.2%,224.34,13.1,+7.1%,+4.7%,+10.6%,-8.8%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,EPS,CY2027,16.855,16.29,-3.4%,16.238,-0.3%,16.446,+1.3%,224.34,13.6,-2.4%,+4.7%,+10.6%,-8.8%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,EPS,CY2028,17.913,16.864,-5.9%,16.139,-4.3%,16.739,+3.7%,224.34,13.4,-6.6%,+4.7%,+10.6%,-8.8%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,EPS,CY2025,0.975,1.024,+5.0%,1.028,+0.4%,1.028,+0.0%,62.35,60.7,+5.4%,-26.1%,+3.4%,+1.7%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,EPS,CY2026,1.242,1.459,+17.5%,1.479,+1.4%,1.547,+4.6%,62.35,40.3,+24.6%,-26.1%,+3.4%,+1.7%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,EPS,CY2027,1.568,1.966,+25.4%,2.009,+2.2%,2.127,+5.9%,62.35,29.3,+35.7%,-26.1%,+3.4%,+1.7%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,EPS,CY2028,2.43,2.55,+4.9%,2.573,+0.9%,2.724,+5.9%,62.35,22.9,+12.1%,-26.1%,+3.4%,+1.7%
APP,Portfolio,,Information Technology,Software & Services,Adj,Dec,EPS,CY2025,8.167,9.373,+14.8%,9.394,+0.2%,9.394,+0.0%,477.08,50.8,+15.0%,-29.2%,+21.9%,+37.3%
APP,Portfolio,,Information Technology,Software & Services,Adj,Dec,EPS,CY2026,11.871,14.658,+23.5%,15.496,+5.7%,15.984,+3.1%,477.08,29.8,+34.6%,-29.2%,+21.9%,+37.3%
APP,Portfolio,,Information Technology,Software & Services,Adj,Dec,EPS,CY2027,14.218,18.898,+32.9%,20.398,+7.9%,21.446,+5.1%,477.08,22.2,+50.8%,-29.2%,+21.9%,+37.3%
APP,Portfolio,,Information Technology,Software & Services,Adj,Dec,EPS,CY2028,17.506,23.806,+36.0%,25.419,+6.8%,27.164,+6.9%,477.08,17.6,+55.2%,-29.2%,+21.9%,+37.3%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,EPS,CY2025,7.659,7.934,+3.6%,7.941,+0.1%,7.941,+0.0%,171.36,21.6,+3.7%,-23.2%,-3.9%,-39.1%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,EPS,CY2026,8.334,8.574,+2.9%,8.876,+3.5%,9.056,+2.0%,171.36,18.9,+8.7%,-23.2%,-3.9%,-39.1%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,EPS,CY2027,9.803,9.604,-2.0%,9.888,+3.0%,10.037,+1.5%,171.36,17.1,+2.4%,-23.2%,-3.9%,-39.1%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,EPS,CY2028,11.037,11.24,+1.8%,11.155,-0.8%,11.334,+1.6%,171.36,15.1,+2.7%,-23.2%,-3.9%,-39.1%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,EPS,CY2025,29.242,29.52,+1.0%,29.52,+0.0%,29.52,+0.0%,1182.79,40.1,+1.0%,-30.0%,+13.7%,-34.9%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,EPS,CY2026,36.279,40.414,+11.4%,41.971,+3.9%,43.28,+3.1%,1182.79,27.3,+19.3%,-30.0%,+13.7%,-34.9%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,EPS,CY2027,45.121,51.008,+13.0%,53.094,+4.1%,54.285,+2.2%,1182.79,21.8,+20.3%,-30.0%,+13.7%,-34.9%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,EPS,CY2028,56.186,58.999,+5.0%,63.171,+7.1%,65.473,+3.6%,1182.79,18.1,+16.5%,-30.0%,+13.7%,-34.9%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2025,9.571,10.587,+10.6%,10.598,+0.1%,10.598,+0.0%,334.69,31.6,+10.7%,+6.7%,+19.2%,+91.9%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2026,10.189,11.241,+10.3%,11.621,+3.4%,14.242,+22.6%,334.69,23.5,+39.8%,+6.7%,+19.2%,+91.9%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2027,11.545,13.394,+16.0%,13.555,+1.2%,14.691,+8.4%,334.69,22.8,+27.2%,+6.7%,+19.2%,+91.9%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,EPS,CY2028,13.316,14.603,+9.7%,15.684,+7.4%,17.36,+10.7%,334.69,19.3,+30.4%,+6.7%,+19.2%,+91.9%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,EPS,CY2025,7.178,7.42,+3.4%,7.42,+0.0%,7.42,+0.0%,1132.33,152.6,+3.4%,+296.7%,+218.6%,+798.7%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,EPS,CY2026,11.939,29.113,+143.8%,55.794,+91.6%,71.286,+27.8%,1132.33,15.9,+497.1%,+296.7%,+218.6%,+798.7%
