Ticker,Group,Category,GICS Sector,GICS Industry,EPS Type,FYE,Price,PE_CY2026,PE_CY2027,PE_CY2028,Return_YTD,Return_3m,Return_12m
HCA,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Dec,375.17,,,,-19.6%,-24.9%,-0.4%
UNH,Portfolio,,Health Care,Health Care Equipment & Servic,GAAP,Dec,400.96,,,,+21.5%,+43.0%,+30.5%
TSM,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,462.12,,,,+52.1%,+36.4%,+116.4%
AVGO,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,411.35,,,,+18.9%,+28.6%,+63.7%
NVDA,Portfolio,,Information Technology,Semiconductors & Semiconductor,GAAP,Jan,210.69,,,,+13.0%,+18.0%,+44.8%
META,Portfolio,,Communication Services,Media & Entertainment,GAAP,Dec,577.22,,,,-12.6%,-4.9%,-17.0%
AMZN,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,GAAP,Dec,244.39,,,,+5.9%,+17.1%,+15.0%
JPM,Portfolio,,Financials,Banks,GAAP,Dec,325.22,,,,+0.9%,+12.9%,+18.7%
APO,Portfolio,,Financials,Financial Services,Adj,Dec,137.5,,,,-5.0%,+23.5%,+3.3%
PGR,Portfolio,,Financials,Insurance,Adj,Dec,204.87,,,,-4.4%,+1.1%,-16.3%
CVNA,Portfolio,,Consumer Discretionary,Consumer Discretionary Distrib,Adj,Dec,66.56,,,,-21.1%,+13.1%,+8.1%
APP,Portfolio,,Information Technology,Software & Services,Adj,Dec,469.71,,,,-30.3%,+6.8%,+36.4%
VEEV,Portfolio,,Health Care,Health Care Equipment & Servic,Adj,Jan,153.3,,,,-31.3%,-17.4%,-45.5%
FICO,Portfolio,,Information Technology,Software & Services,Adj,Sep,1096.48,,,,-35.1%,-1.5%,-37.8%
GOOG,Watchlist,,Communication Services,Media & Entertainment,GAAP,Dec,367.46,,,,+17.1%,+20.2%,+111.2%
MU,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Aug,1133.99,,,,+297.3%,+155.2%,+830.9%
HOOD,Watchlist,,Financials,Financial Services,Adj,Dec,108.15,,,,-4.4%,+45.8%,+38.0%
TDG,Watchlist,,Industrials,Capital Goods,Adj,Sep,1328.31,,,,-0.1%,+11.4%,+0.4%
GE,Watchlist,,Industrials,Capital Goods,GAAP,Dec,357.64,,,,+16.1%,+22.6%,+51.6%
LRCX,Watchlist,,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,389.04,,,,+127.3%,+66.3%,+321.8%
DASH,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,173.46,,,,-23.4%,+8.9%,-21.4%
UBER,Watchlist,,Industrials,Transportation,Adj,Dec,71.64,,,,-12.3%,-4.9%,-14.1%
LLY,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",GAAP,Dec,1098.57,,,,+2.2%,+19.7%,+39.9%
MSFT,Watchlist,,Information Technology,Software & Services,GAAP,Jun,379.4,,,,-21.5%,-2.5%,-21.0%
V,Watchlist,,Financials,Financial Services,GAAP,Sep,327.24,,,,-6.7%,+9.2%,-3.9%
BX,Watchlist,,Financials,Financial Services,Adj,Dec,123.79,,,,-19.7%,+9.1%,-10.0%
BKNG,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,171.78,,,,-19.8%,+0.0%,-18.8%
HLT,Watchlist,,Consumer Discretionary,Consumer Services,Adj,Dec,348.84,,,,+21.4%,+17.1%,+40.9%
IBKR,Watchlist,,Financials,Financial Services,Adj,Dec,96.0,,,,+49.3%,+41.8%,+82.5%
NET,Watchlist,,Information Technology,Software & Services,Adj,Dec,224.06,,,,+13.6%,+1.2%,+23.5%
COST,Watchlist,,Consumer Staples,Consumer Staples Distribution,GAAP,Aug,951.45,,,,+10.3%,-2.4%,-2.4%
TSLA,Watchlist,,Consumer Discretionary,Automobiles & Components,GAAP,Dec,400.49,,,,-10.9%,+5.3%,+24.4%
TMO,Watchlist,,Health Care,"Pharmaceuticals, Biotechnology",Adj,Dec,464.61,,,,-19.8%,-1.2%,+18.4%
COF,Watchlist,,Financials,Financial Services,Adj,Dec,201.53,,,,-16.8%,+12.1%,+2.2%
AON,Watchlist,,Financials,Insurance,Adj,Dec,317.74,,,,-10.0%,+0.2%,-9.4%
MC,Watchlist,,Consumer Discretionary,Consumer Durables & Apparel,GAAP,Dec,499.25,,,,-22.6%,+8.5%,+10.3%
STX,Watchlist,,Information Technology,Technology Hardware & Equipmen,GAAP,Jun,1070.23,,,,+288.6%,+146.3%,+715.1%
SPX,Indices,Indices,,,Adj,Dec,7500.58,,,,+9.6%,+15.3%,+25.7%
QQQ,Indices,Indices,,,GAAP,Dec,740.62,,,,+20.6%,+24.9%,+40.0%
IWM,Indices,Indices,,,Adj,Dec,295.59,,,,+20.1%,+19.4%,+41.0%
SOX,Indices,Indices,,,Adj,Dec,14341.78,,,,+102.5%,+87.0%,+175.2%
IGV,Indices,Indices,,,Adj,Dec,89.09,,,,-15.7%,+5.5%,-16.0%
AER,Extended,Uncategorized,Industrials,Capital Goods,Adj,Dec,145.06,,,,+0.9%,+8.8%,+26.2%
MA,Extended,Uncategorized,Financials,Financial Services,GAAP,Dec,489.79,,,,-14.2%,-0.3%,-9.1%
BRK/A,Extended,Uncategorized,Financials,Financial Services,GAAP,Dec,733609.8,,,,-2.8%,+1.5%,+0.7%
CSU,Extended,Uncategorized,Information Technology,Software & Services,Adj,Dec,2772.61,,,,-16.2%,+10.1%,-43.0%
DHR,Extended,Uncategorized,Health Care,"Pharmaceuticals, Biotechnology",Adj,Dec,177.17,,,,-22.6%,-6.8%,-8.9%
AAPL,Extended,Uncategorized,Information Technology,Technology Hardware & Equipmen,GAAP,Sep,298.01,,,,+9.6%,+19.7%,+51.6%
NFLX,Extended,Uncategorized,Communication Services,Media & Entertainment,GAAP,Dec,77.38,,,,-17.5%,-15.7%,-36.7%
QCOM,Extended,Uncategorized,Information Technology,Semiconductors & Semiconductor,GAAP,Sep,226.11,,,,+32.2%,+72.2%,+47.2%
UMG,Extended,Uncategorized,Communication Services,Media & Entertainment,Adj,Dec,18.775,,,,-15.5%,+15.8%,-29.2%
ASML,Extended,Uncategorized,Information Technology,Semiconductors & Semiconductor,GAAP,Dec,1657.8,,,,+79.9%,+41.9%,+153.8%
AMAT,Extended,Uncategorized,Information Technology,Semiconductors & Semiconductor,GAAP,Oct,617.11,,,,+140.1%,+72.8%,+257.0%
KLAC,Extended,Uncategorized,Information Technology,Semiconductors & Semiconductor,GAAP,Jun,259.56,,,,+113.6%,+71.7%,+197.9%
KKR,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,97.01,,,,-23.9%,+7.1%,-20.8%
BAM,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,47.44,,,,-9.4%,+9.1%,-13.2%
ARES,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,129.34,,,,-20.0%,+19.8%,-22.7%
OWL,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,9.53,,,,-36.2%,+4.5%,-49.0%
CG,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,44.8,,,,-24.2%,-6.1%,-4.8%
BN,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,44.44,,,,-3.2%,+13.6%,+12.1%
TPG,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,42.05,,,,-34.1%,+2.3%,-15.8%
BEP,Extended,Uncategorized,Utilities,Utilities,Adj,Dec,35.24,,,,+30.7%,+10.6%,+38.5%
BIP,Extended,Uncategorized,Utilities,Utilities,Adj,Dec,37.57,,,,+8.1%,+3.2%,+15.4%
MAR,Extended,Uncategorized,Consumer Discretionary,Consumer Services,Adj,Dec,396.2,,,,+27.7%,+21.9%,+53.8%
DPZ,Extended,Uncategorized,Consumer Discretionary,Consumer Services,Adj,Dec,312.47,,,,-25.0%,-16.7%,-30.1%
CMG,Extended,Uncategorized,Consumer Discretionary,Consumer Services,Adj,Dec,32.49,,,,-12.2%,-1.4%,-37.3%
MCO,Extended,Uncategorized,Financials,Financial Services,Adj,Dec,450.67,,,,-11.8%,+3.4%,-4.2%
